sex	decade	pct	name
F	1880	0.007	Verdie
F	1880	0.005	Walter
F	1880	0.010	Zetta
F	1880	0.007	Zoa
F	1880	0.013	Zona
F	1880	0.005	Albertina
F	1880	0.015	Albina
F	1880	0.005	Alyce
F	1880	0.008	Amie
F	1880	0.018	Angela
F	1880	0.008	Annis
F	1880	0.009	Carol
F	1880	0.003	Carra
F	1880	0.001	Clarence
F	1880	0.004	Clarinda
F	1880	0.010	Delphia
F	1880	0.006	Dillie
F	1880	0.006	Doshie
F	1880	0.006	Drucilla
F	1880	0.007	Etna
F	1880	0.014	Eugenie
F	1880	0.006	Eulalia
F	1880	0.007	Eve
F	1880	0.007	Felicia
F	1880	0.005	Florance
F	1880	0.007	Fronie
F	1880	0.015	Geraldine
F	1880	0.003	Gina
F	1880	0.011	Glenna
F	1880	0.007	Grayce
F	1880	0.012	Hedwig
F	1880	0.007	Jessica
F	1880	0.006	Jossie
F	1880	0.009	Katheryn
F	1880	0.004	Katy
F	1880	0.008	Lea
F	1880	0.007	Leanna
F	1880	0.001	Leitha
F	1880	0.010	Leone
F	1880	0.003	Lidie
F	1880	0.003	Loma
F	1880	0.007	Lular
F	1880	0.007	Magdalen
F	1880	0.007	Maymie
F	1880	0.002	Minervia
F	1880	0.019	Muriel
F	1880	0.001	Neppie
F	1880	0.004	Olie
F	1880	0.012	Onie
F	1880	0.006	Osa
F	1880	0.001	Otelia
F	1880	0.008	Paralee
F	1880	0.004	Patience
F	1880	0.005	Rella
F	1880	0.001	Rillie
F	1880	0.012	Rosanna
F	1880	0.010	Theo
F	1880	0.014	Tilda
F	1880	0.003	Tishie
F	1880	0.009	Tressa
F	1880	0.008	Viva
F	1880	0.004	Yetta
F	1880	0.006	Zena
F	1880	0.011	Zola
F	1880	0.005	Abby
F	1880	0.005	Aileen
F	1880	0.003	Alba
F	1880	0.011	Alda
F	1880	0.002	Alla
F	1880	0.004	Alverta
F	1880	0.011	Ara
F	1880	0.003	Ardelia
F	1880	0.005	Ardella
F	1880	0.010	Arrie
F	1880	0.007	Arvilla
F	1880	0.004	Augustine
F	1880	0.006	Aurora
F	1880	0.005	Bama
F	1880	0.002	Bena
F	1880	0.004	Byrd
F	1880	0.006	Calla
F	1880	0.010	Camilla
F	1880	0.005	Carlotta
F	1880	0.004	Celestia
F	1880	0.004	Cherry
F	1880	0.003	Cinda
F	1880	0.003	Classie
F	1880	0.003	Claudine
F	1880	0.001	Clemie
F	1880	0.006	Clifford
F	1880	0.002	Clyda
F	1880	0.001	Creola
F	1880	0.003	Debbie
F	1880	0.007	Dee
F	1880	0.006	Dinah
F	1880	0.004	Doshia
F	1880	0.002	Ednah
F	1880	0.008	Edyth
F	1880	0.010	Eleanora
F	1880	0.005	Electa
F	1880	0.005	Erie
F	1880	0.005	Eudora
F	1880	0.004	Euphemia
F	1880	0.005	Evalena
F	1880	0.006	Evaline
F	1880	0.007	Faith
F	1880	0.001	Fidelia
F	1880	0.003	Freddie
F	1880	0.017	Golda
F	1880	0.007	Harry
F	1880	0.003	Helma
F	1880	0.004	Hermine
F	1880	0.005	Hessie
F	1880	0.008	Ivah
F	1880	0.005	Janette
F	1880	0.003	Jennette
F	1880	0.001	Joella
F	1880	0.009	Kathryne
F	1880	0.003	Lacy
F	1880	0.003	Lanie
F	1880	0.013	Lauretta
F	1880	0.003	Leana
F	1880	0.009	Leatha
F	1880	0.005	Leo
F	1880	0.002	Liller
F	1880	0.002	Lillis
F	1880	0.004	Louetta
F	1880	0.009	Madie
